technology,value
SolarPV,20
CoalMine,40
GasExtractor,40
CoalPowerPlant,30
GasPowerPlant,30
CoalCHPPlant,30
GasCHPPlant,30
Power2Gas,20
H2Car,15
BEV,15
LPGCar,15
BiomassGenerator,40
BiomassPowerPlant,30
WindOnshore,20
ElectricHeater,20
WindOffshore,30
CoalPowerPlant_CCS,30
GasPowerPlant_CCS,30
CoalCHPPlant_CCS,30
GasCHPPlant_CCS,30
BiomassPowerPlant_CCS,30
Pipeline_diameter_0.2,50
Pipeline_diameter_0.4,50
Pipeline_diameter_0.8,50
Pipeline_diameter_1.6,50
