region,year,value
DE,2020,9440.17938353494
DE,2030,10784.9986232869
DE,2040,6548.70720007644
DE,2050,842.573072385165
DK,2020,1592.32541642351
DK,2030,1556
DK,2040,1023
DK,2050,0
FR,2020,4517.89865539363
FR,2030,3429.12754409012
FR,2040,1668.84816755515
FR,2050,477.587828203777
NO,2020,3692.97474434601
NO,2030,3000
NO,2040,1580.66589521362
NO,2050,0
UK,2020,6667.86922227177
UK,2030,5042.09650943742
UK,2040,2293.27671754423
UK,2050,300.158307673971
