Year,CO2_Transport_Technology,To,From,value
2050,Pipeline_diameter_1.6,DK,DE,1014.0
2030,Pipeline_diameter_1.6,FR,UK,253.5
2040,Pipeline_diameter_1.6,FR,DE,253.5
2040,Pipeline_diameter_1.6,FR,UK,1014.0
2040,Pipeline_diameter_1.6,NO,DK,507.0
2040,Pipeline_diameter_1.6,UK,FR,253.5
2050,Pipeline_diameter_1.6,FR,DE,253.5
2050,Pipeline_diameter_1.6,FR,UK,1014.0
2040,Pipeline_diameter_1.6,DK,DE,507.0
2050,Pipeline_diameter_1.6,NO,DK,1267.5
2050,Pipeline_diameter_1.6,UK,FR,507.0
