Year,Region,Hour,Technology,Fuel,value
2040,DE,28,SolarPV,Power,85.483093014
2050,DE,28,SolarPV,Power,172.6931172
2020,FR,28,SolarPV,Power,50.30520248
2030,FR,28,SolarPV,Power,69.266394184
2040,FR,28,SolarPV,Power,95.192921616
2050,FR,28,SolarPV,Power,232.1778576
2020,NO,28,SolarPV,Power,8.472412434
2030,NO,28,SolarPV,Power,11.462675646000001
2040,NO,28,SolarPV,Power,16.944824868
2050,NO,28,SolarPV,Power,33.391272534
2020,DK,28,SolarPV,Power,13.72618164
2030,DK,28,SolarPV,Power,18.759114908
2040,DK,28,SolarPV,Power,27.45236328
2050,DK,28,SolarPV,Power,54.90472656
2020,UK,28,SolarPV,Power,15.782130252
2030,UK,28,SolarPV,Power,22.040561214
2040,UK,28,SolarPV,Power,35.37374022
2050,UK,28,SolarPV,Power,108.8422776
2020,DE,29,SolarPV,Power,47.057805326
2030,DE,29,SolarPV,Power,65.30470943200001
2040,DE,29,SolarPV,Power,95.07597402600001
2050,DE,29,SolarPV,Power,192.07267480000002
2020,FR,29,SolarPV,Power,57.054369189999996
2030,FR,29,SolarPV,Power,78.559477577
2040,FR,29,SolarPV,Power,107.964421698
2050,FR,29,SolarPV,Power,263.3278578
2020,NO,29,SolarPV,Power,9.68154335
2030,NO,29,SolarPV,Power,13.098558650000001
2040,NO,29,SolarPV,Power,19.3630867
2050,NO,29,SolarPV,Power,38.156670850000005
2020,DK,29,SolarPV,Power,15.512435369999999
2030,DK,29,SolarPV,Power,21.200328339
2040,DK,29,SolarPV,Power,31.024870739999997
2050,DK,29,SolarPV,Power,62.049741479999994
2020,UK,29,SolarPV,Power,22.550095848
2030,UK,29,SolarPV,Power,31.492375236
2040,UK,29,SolarPV,Power,50.54331828
2050,UK,29,SolarPV,Power,155.5179024
2020,DE,30,SolarPV,Power,49.119295596
2030,DE,30,SolarPV,Power,68.16555307200001
2040,DE,30,SolarPV,Power,99.241025796
2050,DE,30,SolarPV,Power,200.4869208
2020,FR,30,SolarPV,Power,68.06724912
2030,FR,30,SolarPV,Power,93.723366096
2040,FR,30,SolarPV,Power,128.804179104
2050,FR,30,SolarPV,Power,314.1565344
2020,NO,30,SolarPV,Power,9.402933290999998
2030,NO,30,SolarPV,Power,12.721615628999999
2040,NO,30,SolarPV,Power,18.805866581999997
2050,NO,30,SolarPV,Power,37.058619441
2020,DK,30,SolarPV,Power,15.59615715
2030,DK,30,SolarPV,Power,21.314748105
2040,DK,30,SolarPV,Power,31.1923143
2050,DK,30,SolarPV,Power,62.3846286
2020,UK,30,SolarPV,Power,29.649574886
