Year,Hour,To,From,Fuel,value
2020,119,FR,DE,Power,9.02698489
2030,22,FR,UK,H2,6.691752469666666
2020,34,DE,DK,H2,0.7088756108333334
2050,115,DE,DK,H2,14.419539147500004
2030,63,FR,UK,H2,3.225121331954794
2030,23,FR,DE,H2,2.916666666666666
2020,51,DE,DK,H2,0.14766226950000316
2020,28,NO,DK,H2,2.5
2050,104,DE,FR,H2,19.53125
2040,57,DE,DK,H2,1.7817543019999995
2020,17,FR,UK,H2,5.0
2040,102,DE,FR,H2,15.625
2020,5,FR,DE,H2,1.2219374102216936
2030,95,DE,DK,H2,1.2736472201666662
2020,5,DK,DE,H2,1.6666666666666667
2030,14,FR,UK,H2,2.916666666666666
2050,10,FR,UK,Power,13.221607901666664
2030,39,DE,DK,H2,6.921893248666665
2020,81,DE,FR,H2,5.0
2050,71,DK,NO,Power,0.6908113748162541
2030,30,DK,DE,Power,2.4170677216666654
2030,47,FR,UK,H2,4.669603064959568
2030,113,FR,UK,Power,6.081307613486303
2050,8,DK,NO,H2,8.887416212562501
2050,36,DK,NO,H2,3.2552083333333335
2030,100,DE,DK,H2,7.5
2030,90,FR,UK,H2,3.524071306166668
2030,34,FR,UK,H2,3.8168111078532436
2040,95,FR,UK,H2,8.627386567833335
2050,24,DE,DK,H2,4.088011048749999
2050,100,NO,UK,H2,0.45570376343749963
2050,5,DK,NO,H2,8.887416212562501
2050,109,DE,DK,H2,16.788036224166664
2030,120,FR,DE,Power,9.555198717490251
2030,103,NO,DK,Power,1.383910612943014
2030,120,UK,NO,H2,2.2581999103333334
2050,74,NO,UK,H2,4.8828125
2040,103,DE,FR,H2,15.625
2050,119,DE,DK,H2,7.901182065833334
2040,29,DE,DK,H2,0.8719835352866347
2040,75,DE,DK,H2,7.179853860000009
2040,100,FR,UK,H2,9.776735614515106
2020,14,FR,UK,H2,5.0
2040,8,DE,DK,H2,1.8004534978333342
2050,46,FR,UK,Power,16.35159671667568
2020,39,DE,DK,H2,3.3379062123333325
2040,36,DE,DK,H2,2.877740084833332
2050,116,FR,UK,Power,11.368435508204557
2020,30,DK,DE,Power,0.9761963741521873
2020,47,FR,UK,H2,3.5949425673333333
2020,27,NO,DK,Power,2.1679891327393332
2020,113,FR,UK,Power,2.5734291791942185
2040,60,DE,DK,Power,2.4491045139999983
2020,100,DE,DK,H2,5.0
2020,90,FR,UK,H2,5.0
2050,111,DE,DK,Power,17.269354923893733
2020,34,FR,UK,H2,5.0
2050,115,FR,UK,H2,16.276041666666668
2030,102,DE,FR,H2,7.5
2020,74,DE,DK,H2,1.0287960309999988
2050,33,DE,DK,H2,5.847066120000003
2020,120,FR,DE,Power,13.290396006956067
2020,52,UK,FR,H2,1.9447356346666673
2040,23,DE,DK,H2,3.3552639828333337
2050,13,DE,DK,Power,36.284100965000015
2040,52,DE,DK,H2,5.96462684050281
2040,96,FR,UK,H2,1.175764444833332
2030,95,FR,UK,H2,5.770055192666668
2050,108,NO,UK,Power,6.3942968156809705
2050,49,FR,UK,Power,30.727982764000004
2050,10,DE,DK,Power,70.40480802
2030,39,FR,UK,H2,7.5
2030,103,DE,FR,H2,7.5
2040,82,DE,DK,Power,4.094701008000001
2040,30,NO,DK,H2,2.6850188875
2050,47,DE,FR,H2,19.53125
2050,88,DE,DK,H2,4.2513871822291645
2050,26,DE,DK,Power,10.534730261614992
2030,100,FR,UK,H2,4.672198673298243
2030,8,DE,DK,H2,0.1492702136666666
2050,9,DE,DK,H2,19.53125
2050,29,NO,UK,H2,6.977488821249999
2030,36,DE,DK,H2,2.870984025166667
2050,24,FR,UK,H2,16.276041666666668
2040,98,DE,DK,H2,2.542935627899466
2030,78,NO,DK,H2,7.325352052166664
2050,34,DE,FR,H2,9.685723750416674
2050,109,FR,UK,H2,15.931712648330972
2050,114,FR,UK,Power,41.719400426
2030,60,DE,DK,Power,0.24701676183778026
2050,119,FR,UK,H2,15.797267472500002
2020,95,FR,UK,H2,5.0
2040,75,FR,UK,H2,1.7770158708333312
2050,46,DE,DK,Power,3.051990660882015
2040,8,FR,UK,H2,4.331872936833333
2040,36,FR,UK,H2,19.233815305264486
2050,120,DE,DK,H2,7.286284264880258
2020,103,DE,FR,H2,1.9447356346666673
2050,116,DE,DK,Power,4.6421971699999975
2030,24,FR,DE,H2,5.650941871499999
2050,117,DE,DK,H2,20.356956845635967
2020,29,DE,DK,H2,1.601635426999998
2020,75,DE,DK,H2,3.2274829421503872
2020,15,FR,UK,H2,5.0
2020,100,FR,UK,H2,1.7772670873333336
2040,101,DE,DK,H2,8.346932647186671
2030,80,UK,FR,H2,3.0847994934237537
2020,118,FR,DE,Power,2.8963275032690774
2040,34,NO,UK,H2,1.3370853905000004
2030,96,FR,UK,H2,1.6863863321666628
2030,119,FR,DE,H2,5.916210456874273
2050,38,DE,DK,Power,15.295318992311168
2050,115,DK,NO,H2,4.781353329286409
2040,23,FR,UK,H2,1.4224710263333353
2040,62,UK,FR,H2,2.916666666666666
2050,66,DE,DK,Power,7.55630484427039
2030,31,NO,DK,Power,0.31029422399999973
2030,30,NO,DK,H2,7.5
2040,115,DE,DK,H2,3.9737445893267154
2030,98,DE,DK,H2,7.454651297166665
2030,104,NO,DK,Power,1.1771460380000018
2020,52,DE,DK,H2,3.041416785500008
2020,96,FR,UK,H2,5.0
2030,109,UK,FR,H2,1.495658048667666
2020,119,FR,DE,H2,5.0
2040,104,DE,FR,H2,1.288114577666665
2040,59,NO,DK,H2,3.90625
2050,12,FR,UK,H2,17.941795710833333
2050,12,DE,FR,Power,9.230560642911804
2030,29,FR,UK,H2,3.4962395251666685
2050,88,FR,UK,H2,31.555904484437505
2050,9,FR,UK,H2,5.082264820500011
2040,22,NO,DK,Power,0.054716599294720926
2030,36,FR,UK,H2,7.5
2040,98,FR,UK,H2,7.212071215433866
2020,31,NO,DK,Power,2.8268109410000015
2020,30,NO,DK,H2,2.5
2050,74,DE,FR,H2,15.362253873186617
2030,101,DE,DK,H2,6.8363332918478985
2030,34,NO,UK,H2,3.125
2020,98,DE,DK,H2,3.6483954563333336
2050,118,DE,DK,H2,7.925185887083332
2050,101,NO,UK,H2,0.5703210012499866
2050,112,FR,UK,Power,11.568633581036487
2030,23,FR,UK,H2,7.5
2050,57,DE,FR,H2,19.53125
2040,36,DK,NO,H2,1.5074835014999994
2050,117,FR,UK,H2,11.142042088395726
2020,29,FR,UK,H2,5.0
2040,24,DE,DK,H2,4.998321748333334
2020,8,FR,UK,H2,4.3604836288333235
2040,101,FR,UK,H2,9.748437673333331
2050,42,DE,FR,Power,2.2157392228408295
2040,109,DE,DK,H2,1.7078643858333336
2020,36,FR,UK,H2,5.0
2040,44,NO,UK,Power,0.47862241400000016
2050,64,DE,DK,Power,3.0236508156903894
2050,96,DK,NO,Power,5.708566235821059
2040,58,NO,DK,H2,3.90625
2020,50,FR,DE,Power,0.5912840240000019
2050,96,DE,FR,H2,8.577327889331016
2020,5,FR,UK,H2,4.687699609611636
2030,115,DE,DK,H2,5.535999113166669
2020,101,DE,DK,H2,4.454340729333335
2030,120,FR,DE,H2,7.5
2020,53,UK,FR,H2,1.430794889713411
2030,79,NO,DK,H2,3.7685667461199372
2030,59,NO,DK,H2,3.125
2040,116,FR,UK,Power,3.7559216099999935
2050,45,FR,UK,H2,1.007661901675636
2050,45,DE,FR,Power,7.3286689046558635
2050,107,DE,DK,H2,4.113032177916667
2030,69,FR,DE,H2,7.5
2040,115,FR,UK,H2,13.020833333333334
2030,98,FR,UK,H2,2.4899062631666666
2040,26,NO,DK,H2,0.8058981748333327
2030,55,NO,DK,H2,7.5
2020,115,DE,DK,H2,0.5216848438333341
2030,10,FR,UK,Power,18.0
2050,12,DK,NO,H2,3.2552083333333335
2030,111,NO,DK,H2,1.6610632710000006
2020,120,FR,DE,H2,5.0
2050,88,DK,NO,H2,9.32393125001596e-5
2020,79,NO,DK,H2,1.4825992559999994
2050,36,DK,NO,Power,8.03007563485611
2020,59,NO,DK,H2,2.5
2050,9,DK,NO,H2,8.887416212562501
2020,117,FR,DE,H2,1.318738436091241
2050,36,DE,FR,H2,19.53125
2030,36,DK,NO,H2,1.3922747335000007
2040,32,NO,DK,H2,3.90625
2030,24,DE,DK,H2,0.14654854416666696
2020,80,DE,DK,H2,0.362756744710504
2030,101,FR,UK,H2,6.119991924666666
2030,109,DE,DK,H2,0.8336967816666658
2020,98,FR,UK,H2,1.6437440053333328
2040,1,FR,UK,Power,0.9096800150000064
2050,118,FR,UK,H2,14.702328347833339
2050,85,DE,DK,H2,0.03729857912370926
2030,58,NO,DK,H2,3.0961466154999995
2020,55,NO,DK,H2,1.3399337520000003
2030,119,DE,DK,H2,2.3979459096666655
2040,12,DE,DK,H2,3.8482284628333345
2020,16,FR,UK,Power,9.468638170999991
2040,88,DE,DK,H2,0.5653056946703656
2040,9,DE,DK,H2,4.387092298833332
2020,10,FR,UK,Power,15.0
2030,34,NO,DK,Power,2.0583518599999984
2040,24,FR,UK,H2,13.020833333333334
2030,116,FR,UK,Power,8.024989204065458
2050,93,DE,DK,H2,6.892559218979164
2050,35,DE,DK,H2,2.0977566832260237
2040,114,FR,UK,Power,20.082397005426436
2050,3,DE,DK,H2,19.53125
2040,119,FR,UK,H2,3.973711496510136
2030,111,DE,DK,Power,8.021170314054519
2030,118,FR,DE,H2,2.916666666666666
2030,115,FR,UK,H2,7.5
2040,56,NO,DK,H2,5.273181197425274
2020,101,FR,UK,H2,1.7708402793333313
2030,33,DE,DK,H2,3.3885825241666665
2020,58,NO,DK,H2,1.7528853878010209
2050,33,NO,UK,H2,14.218025710501237
2020,119,DE,DK,H2,2.825142574337163
2040,1,NO,DK,H2,3.90625
2040,74,NO,DK,Power,3.6841707809999993
2050,28,DE,DK,H2,9.001183449583325
2040,42,DE,DK,H2,1.247912676394305
2050,44,FR,UK,H2,16.746310052916662
2040,38,DE,DK,Power,5.677848104425199
2020,116,FR,UK,Power,4.693644127690892
2040,33,FR,UK,H2,2.873255886333336
2020,57,NO,UK,H2,1.284044649706175
2050,98,DE,FR,H2,12.505340529166693
2020,51,NO,DK,Power,2.053789934000001
2050,65,DE,DK,Power,8.23162192917307
2030,32,NO,DK,H2,3.8442476237417975
2020,111,DE,DK,Power,4.923927685415407
2020,118,FR,DE,H2,5.0
2020,53,DE,DK,H2,2.2617133078333325
2020,115,FR,UK,H2,4.504161796333334
2030,1,FR,UK,Power,12.871932435675342
2050,48,FR,UK,Power,52.454997918409205
2020,33,DE,DK,H2,0.8586529218333332
2040,45,DE,DK,H2,4.234773848999998
2030,12,DE,DK,H2,1.8043349786666663
2040,3,FR,DE,H2,1.8208867315
2030,88,DE,DK,H2,1.232519588166666
2050,86,FR,UK,H2,27.06578959316667
2030,9,DE,DK,H2,2.2393953246666665
2030,24,FR,UK,H2,4.765724795166667
2030,34,DE,FR,H2,0.9493284786865757
2040,41,DE,DK,H2,2.637294896333334
2050,85,FR,UK,H2,35.45430229004296
2030,114,FR,UK,Power,8.865718524772122
2050,101,DE,FR,H2,19.00146053212675
2030,119,FR,UK,H2,4.500456209792393
2030,56,NO,DK,H2,1.804084654894739
2020,32,NO,DK,H2,2.5
2020,54,DE,FR,H2,1.9447356346666673
2040,9,FR,UK,H2,6.17693388683333
2020,1,FR,UK,Power,1.2747289981982064
2050,105,DE,DK,Power,7.048082873391141
2030,100,NO,DK,Power,3.3394660599999995
2030,120,DE,DK,H2,1.5860661542192944
2030,1,NO,DK,H2,1.0728697966666623
2050,93,FR,UK,H2,16.276041666666668
2030,74,NO,DK,Power,3.4057247330000013
2050,21,DE,DK,H2,10.955560725312496
2050,35,FR,UK,H2,14.976107111607316
2030,117,DE,DK,H2,7.5
2050,3,FR,UK,H2,16.276041666666668
2050,108,FR,UK,H2,16.253795517666667
2050,102,DE,DK,Power,22.399684987743328
2020,24,FR,UK,H2,5.0
2030,33,FR,UK,H2,3.0981395846666633
2020,109,FR,UK,H2,4.194139717833327
2030,115,DK,NO,H2,2.955197347500003
2020,114,FR,UK,Power,5.133367577123918
2020,119,FR,UK,H2,3.0000154493333335
2020,56,NO,DK,H2,1.8482490189999998
2040,117,FR,UK,H2,6.340782410833333
2040,99,NO,DK,H2,3.90625
2050,37,DE,DK,Power,36.31908019254519
2030,45,DE,DK,H2,2.9895463256666672
2030,3,FR,DE,H2,2.916666666666666
2020,120,DE,DK,H2,1.8474090378333337
2050,80,DE,FR,H2,19.53125
2050,20,DE,DK,Power,0.01717672977467786
2020,1,NO,DK,H2,1.1734324978333328
2050,11,DE,FR,Power,18.628090120296733
2050,11,FR,UK,H2,28.493429337083327
2050,94,FR,UK,H2,1.8367436954166685
2020,117,DE,DK,H2,5.0
2030,41,DE,DK,H2,1.5935943096666674
2030,98,NO,UK,H2,2.0423478809999995
2050,103,DE,DK,Power,4.629912839460441
2020,50,FR,DE,H2,5.0
2020,33,FR,UK,H2,2.317818445333331
2020,115,DK,NO,H2,0.23231600000000086
2040,45,FR,UK,H2,11.073729050333332
2030,12,FR,UK,H2,7.5
2020,57,NO,DK,Power,1.6273946080000004
2050,113,DE,DK,H2,13.718893865833335
2040,89,FR,UK,Power,1.113532551498806
2030,9,FR,UK,H2,7.5
2040,44,DE,DK,H2,1.6115636653333332
2020,45,DE,DK,H2,0.9941042183333331
2050,85,DK,NO,H2,3.2925069124570427
2050,60,DE,DK,H2,3.2592367195875487
2030,108,UK,FR,H2,0.21319417700000187
2030,118,DE,DK,H2,7.5
2030,101,NO,UK,H2,3.125
2030,29,NO,DK,Power,3.9632165942195376
2030,76,NO,DK,H2,7.5
2020,41,DE,DK,H2,0.09457362033333339
2040,30,UK,FR,Power,2.883179679058799
2040,91,FR,UK,Power,2.264059847142862
2040,36,DE,FR,H2,9.152478935166664
2020,12,FR,UK,H2,5.0
2030,117,FR,UK,H2,7.5
2030,99,NO,DK,H2,3.125
2050,93,DK,NO,H2,0.2570140310624982
2020,88,FR,UK,H2,3.924761156153692
2020,9,FR,UK,H2,5.0
2030,42,FR,UK,H2,4.6621274831666675
2040,118,FR,UK,H2,9.84390304333333
2050,62,DE,FR,H2,17.288594312500003
2020,118,DE,DK,H2,3.8802674054833703
2030,21,FR,DE,H2,7.5
2020,29,NO,DK,Power,2.159964005999999
2020,75,NO,DK,Power,0.5141121429999993
2020,76,NO,DK,H2,0.6428527035
2030,45,FR,UK,H2,4.159056815666666
2040,93,DE,DK,H2,8.628850965833335
2030,107,DE,DK,H2,0.27260286766666697
2020,120,FR,UK,H2,3.333333333333334
2040,35,DE,DK,H2,4.5107169088333325
2020,57,DE,FR,H2,0.12216553250000217
2040,42,DK,NO,H2,0.10207934306097144
2020,117,FR,UK,H2,5.0
2030,44,DE,DK,H2,1.0804389936666667
2050,11,DK,NO,H2,0.5165651062915884
2020,42,FR,UK,H2,2.533024358333334
2050,61,DE,DK,Power,8.127366790000005
2030,41,FR,UK,H2,0.520150827166665
2050,2,DE,DK,H2,19.53125
2050,84,FR,UK,H2,27.322972074884806
2030,99,DE,DK,Power,4.993426595245986
2040,77,DE,DK,H2,6.646746587333338
2050,113,FR,UK,H2,6.914275784270009
2050,12,DE,FR,H2,19.53125
2040,28,DE,DK,H2,0.22147009003663598
2040,37,FR,UK,Power,8.460926795000006
2040,44,FR,UK,H2,7.827565305264486
2050,88,DE,FR,H2,15.279862817770836
2030,81,NO,DK,H2,2.2453519165000007
2020,45,FR,UK,H2,2.8132940073333303
2040,11,DE,DK,H2,2.389238083000002
2030,36,DE,FR,H2,7.4046703028333365
2040,94,DE,DK,H2,2.509894623333333
2040,98,DE,FR,H2,13.082064372100534
2020,52,NO,DK,Power,0.18568795500000057
2040,60,UK,FR,H2,5.836459304031893
2030,118,FR,UK,H2,7.5
2050,30,DE,DK,H2,7.221557153333331
2020,99,DE,DK,Power,6.157494818593871
2040,12,NO,UK,H2,3.90625
2030,111,FR,DE,Power,0.1589081261529799
2050,21,DK,NO,H2,3.8508864090624986
2030,93,DE,DK,H2,6.412056611666667
2050,42,DK,NO,Power,19.328417420494436
2030,35,DE,DK,H2,4.185086822166667
2040,85,FR,UK,H2,1.5593352099214872
2040,101,DE,FR,H2,7.278067352813329
2030,3,DE,DK,H2,2.612103327666667
2040,50,FR,UK,H2,1.8906891328333408
2040,20,NO,DK,H2,0.5041362568333323
2030,40,DE,DK,H2,1.4110894031666663
2040,27,NO,DK,H2,0.5725765229999995
2050,104,DE,DK,Power,11.857831100630994
2020,118,FR,UK,H2,3.333333333333334
2040,83,FR,UK,Power,20.820413397000003
2030,33,NO,UK,H2,0.9165161985000019
2040,93,FR,UK,H2,9.525438790333334
2020,50,DE,DK,H2,1.2969183193624971
2040,21,DE,DK,H2,2.7618609373333327
2040,35,FR,UK,H2,9.770714265583324
2030,28,DE,DK,H2,6.365444076815788
2030,44,FR,UK,H2,7.5
2040,102,DE,DK,Power,19.20157360009343
2020,93,DE,DK,H2,3.1635069028333334
2030,11,DE,DK,H2,5.909002191166666
2030,94,DE,DK,H2,1.7844111941666672
2050,2,FR,UK,H2,9.011804654337649
2030,27,FR,UK,Power,2.891584153447182
2030,98,DE,FR,H2,4.928243377500005
2020,35,DE,DK,H2,1.3697418398333328
2050,41,DK,NO,Power,9.115022120501093
