Year,Hour,To,From,Fuel,value
2040,13,DE,DK,H2,10.863744362781665
2040,3,NO,DK,Power,1.6872797072020356
2030,113,DK,NO,H2,1.2996923715
2040,58,DE,DK,H2,3.154415277763219
2050,27,FR,DE,H2,6.753797540666671
2040,44,DE,FR,H2,11.53691450866667
2050,36,DE,DK,Power,15.52496375949891
2050,26,DK,NO,H2,7.317996349125
2020,82,FR,UK,H2,4.173734324333334
2050,114,FR,UK,H2,15.586090463962774
2040,16,DE,DK,H2,13.720050642198961
2030,1,FR,DE,H2,7.5
2020,32,DK,DE,H2,1.6356805515000055
2050,60,DE,FR,H2,16.27201328041245
2040,10,DE,DK,H2,4.362332069833334
2020,2,FR,UK,H2,5.0
2030,97,FR,UK,H2,1.6777440506666625
2050,112,DE,DK,H2,14.569899287916668
2050,59,NO,UK,H2,4.8828125
2040,39,FR,UK,Power,0.6473615327281732
2040,72,DE,DK,H2,0.036731038333335686
2050,23,DE,DK,Power,1.991598180000004
2040,4,FR,DE,H2,5.631754213000001
2040,11,NO,DK,Power,3.7609674959999992
2050,92,FR,UK,H2,3.695877637044555
2040,26,DE,DK,H2,9.750645724999998
2030,54,NO,DK,H2,7.5
2030,110,DE,DK,H2,4.871088120166666
2030,43,FR,UK,H2,7.5
2050,64,DE,FR,Power,7.735848029309619
2030,56,UK,FR,H2,7.5
2030,50,NO,DK,Power,0.36402697100000125
2030,111,DE,DK,H2,7.5
2020,34,FR,UK,Power,0.9782906987393347
2050,115,FR,UK,Power,22.720168273252956
2030,37,UK,NO,H2,2.4213562315000017
2020,79,DE,DK,H2,1.4645518843333338
2030,25,DE,DK,H2,3.090439299666666
2020,59,DE,DK,H2,2.816714128079745
2030,18,FR,DE,H2,7.5
2040,46,DE,DK,H2,1.8194848178333332
2020,97,FR,UK,H2,4.994772437333333
2030,27,FR,DE,Power,9.057930414552816
2030,51,NO,DK,H2,7.5
2040,35,DE,FR,H2,4.032549697749996
2050,82,DE,FR,H2,19.53125
2050,4,FR,UK,H2,16.276041666666668
2050,89,DE,DK,H2,9.302807324791665
2030,64,FR,DE,H2,5.0
2020,54,NO,DK,H2,1.1419402220000006
2020,55,DE,DK,H2,5.0
2040,25,FR,UK,H2,9.492054359833334
2050,58,NO,UK,H2,3.3838999406875003
2020,110,DE,DK,H2,1.3351924478333326
2020,43,FR,UK,H2,2.908561215333333
2040,74,NO,DK,H2,3.90625
2020,56,UK,FR,H2,1.1581621686666699
2020,50,NO,DK,Power,2.9456673350000004
2020,111,DE,DK,H2,5.0
2030,10,DE,DK,H2,2.219251193166666
2040,13,FR,UK,H2,3.123277696333334
