Year,Region,Hour,CO2_Storage,value
2050,UK,101,Saline_aquifer_offshore,765.5570177230431
2040,DE,102,Saline_aquifer_offshore,412.13401100939507
2050,DE,102,Saline_aquifer_offshore,905.0947280032422
2040,FR,102,Saline_aquifer_offshore,101.5099391456331
2050,FR,102,Saline_aquifer_offshore,301.69824266774754
2040,DK,102,Saline_aquifer_offshore,137.5130209268651
2050,DK,102,Saline_aquifer_offshore,190.54625852699837
2050,UK,102,Saline_aquifer_offshore,765.4804620212708
2040,DE,103,Saline_aquifer_offshore,439.4871902167701
2050,DE,103,Saline_aquifer_offshore,905.0042185304418
2040,FR,103,Saline_aquifer_offshore,109.15976015171859
2050,FR,103,Saline_aquifer_offshore,301.6680728434808
2040,DK,103,Saline_aquifer_offshore,145.4448976247725
2050,DK,103,Saline_aquifer_offshore,190.52720390114567
2050,UK,103,Saline_aquifer_offshore,765.4039139750687
2040,DE,104,Saline_aquifer_offshore,471.8409234977485
2050,DE,104,Saline_aquifer_offshore,904.913718108589
2040,FR,104,Saline_aquifer_offshore,116.41985417570336
2050,FR,104,Saline_aquifer_offshore,301.63790603619645
2040,DK,104,Saline_aquifer_offshore,153.32835313501
2050,DK,104,Saline_aquifer_offshore,190.50815118075556
2050,UK,104,Saline_aquifer_offshore,765.3273735836711
2040,DE,105,Saline_aquifer_offshore,495.23735740539877
2050,DE,105,Saline_aquifer_offshore,904.8232267367782
2040,FR,105,Saline_aquifer_offshore,131.25599604335255
2050,FR,105,Saline_aquifer_offshore,301.6077422455928
2040,DK,105,Saline_aquifer_offshore,160.71092629969652
2050,DK,105,Saline_aquifer_offshore,192.00000000000003
2050,UK,105,Saline_aquifer_offshore,769.122804878131
2040,DE,106,Saline_aquifer_offshore,518.7723753429917
2050,DE,106,Saline_aquifer_offshore,912.0
2040,FR,106,Saline_aquifer_offshore,167.40831135321517
2050,FR,106,Saline_aquifer_offshore,301.5775814713683
2040,DK,106,Saline_aquifer_offshore,167.70379920706657
2050,DK,106,Saline_aquifer_offshore,192.0
2050,UK,106,Saline_aquifer_offshore,783.3430243976431
2040,DE,107,Saline_aquifer_offshore,545.2953191626574
2050,DE,107,Saline_aquifer_offshore,912.0
2040,FR,107,Saline_aquifer_offshore,194.54264413274674
2050,FR,107,Saline_aquifer_offshore,301.5474237132212
2040,DK,107,Saline_aquifer_offshore,174.4375104376792
2050,DK,107,Saline_aquifer_offshore,192.0
2050,UK,107,Saline_aquifer_offshore,796.9804626202034
2040,DE,108,Saline_aquifer_offshore,582.6493803267413
2050,DE,108,Saline_aquifer_offshore,912.0
2040,FR,108,Saline_aquifer_offshore,214.01411589700015
2050,FR,108,Saline_aquifer_offshore,302.4442273064173
2040,DK,108,Saline_aquifer_offshore,185.8309238055688
2050,DK,108,Saline_aquifer_offshore,192.0
2050,UK,108,Saline_aquifer_offshore,812.3390830989414
2040,DE,109,Saline_aquifer_offshore,624.3310283044419
2050,DE,109,Saline_aquifer_offshore,912.0
2040,FR,109,Saline_aquifer_offshore,243.9777728680772
2050,FR,109,Saline_aquifer_offshore,304.0000000000001
2040,DK,109,Saline_aquifer_offshore,192.0
2050,DK,109,Saline_aquifer_offshore,192.0
2050,UK,109,Saline_aquifer_offshore,835.0093503487255
2040,DE,110,Saline_aquifer_offshore,664.9214315293449
2050,DE,110,Saline_aquifer_offshore,912.0
2040,FR,110,Saline_aquifer_offshore,277.4434392254572
2050,FR,110,Saline_aquifer_offshore,304.0
2040,DK,110,Saline_aquifer_offshore,191.99999999999997
2050,DK,110,Saline_aquifer_offshore,191.99999999999997
2050,UK,110,Saline_aquifer_offshore,861.434025220738
2040,DE,111,Saline_aquifer_offshore,707.1116173861919
